步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,删除所有字段完全相同的重复记录,5630,5630,0
填补缺失值 - Tenure,使用总体中位数 (9.00) 填补,5630,5630,264
填补缺失值 - WarehouseToHome,使用总体中位数 (14.00) 填补,5630,5630,251
填补缺失值 - HourSpendOnApp,使用总体中位数 (3.00) 填补,5630,5630,255
填补缺失值 - OrderAmountHikeFromlastYear,使用总体中位数 (15.00) 填补,5630,5630,265
填补缺失值 - CouponUsed,使用总体中位数 (1.00) 填补,5630,5630,256
填补缺失值 - OrderCount,使用总体中位数 (2.00) 填补,5630,5630,258
填补缺失值 - DaySinceLastOrder,使用总体中位数 (3.00) 填补,5630,5630,307
类别标准化 - PreferredLoginDevice,将 'Phone' 统一为 'Mobile Phone',5630,5630,1231
类别标准化 - PreferredPaymentMode,将 'COD' 统一为 'Cash on Delivery',5630,5630,365
类别标准化 - PreferredPaymentMode,将 'CC' 统一为 'Credit Card',5630,5630,273
类别标准化 - PreferedOrderCat,将 'Mobile' 统一为 'Mobile Phone',5630,5630,809
数据类型转换,将 Churn 列转为整数类型,5630,5630,5630
数据类型转换,将 Complain 列转为整数类型,5630,5630,5630
